Wavelength (micron)  Background (photon/sec/pixel)
       1.9801791       5.7698529
       1.9803960       7.3654334
       1.9806130       8.8971554
       1.9808301       9.7422675
       1.9810470       9.5907225
       1.9812640       8.6406353
       1.9814811       7.4173784
       1.9816980       6.3909167
       1.9819150       5.7707372
       1.9821321       5.5549010
       1.9823490       5.5579161
       1.9825660       5.4758485
       1.9827831       5.3682192
       1.9830000       6.7707579
       1.9832170       14.009960
       1.9834341       32.361281
       1.9836510       59.703028
       1.9838680       81.303577
       1.9840851       81.035972
       1.9843020       59.147927
       1.9845190       31.926037
       1.9847361       13.641376
       1.9849530       5.9846675
       1.9851700       3.8574548
       1.9853871       3.3496274
       1.9856040       3.1283508
       1.9858210       2.9695024
       1.9860380       2.8933821
       1.9862550       2.9467772
       1.9864720       3.1446363
       1.9866891       3.4436884
       1.9869061       3.7166705
       1.9871230       3.7996060
       1.9873400       3.6317718
       1.9875571       3.3259295
       1.9877740       3.0697867
       1.9879911       3.0235334
       1.9882081       3.4824567
       1.9884250       5.3075228
       1.9886420       9.7902364
       1.9888591       16.964568
       1.9890760       24.043097
       1.9892931       27.158348
       1.9895101       25.104747
       1.9897270       20.515547
       1.9899440       17.000989
       1.9901611       15.843008
       1.9903780       15.605996
       1.9905951       14.366180
       1.9908121       12.002007
       1.9910290       10.062292
       1.9912460       9.5246921
       1.9914631       9.8954871
       1.9916800       11.109621
       1.9918971       14.641048
       1.9921141       21.074785
       1.9923310       27.449751
       1.9925480       29.090551
       1.9927651       24.372018
       1.9929820       16.381018
       1.9931990       9.8408235
       1.9934161       7.1828923
       1.9936330       7.1857672
       1.9938500       7.0564394
       1.9940671       5.7672550
       1.9942840       4.4575572
       1.9945010       4.1982002
       1.9947181       4.9800713
       1.9949350       6.2362636
       1.9951520       7.4314899
       1.9953691       8.3913608
       1.9955860       9.1070956
       1.9958030       9.2599407
       1.9960201       8.4744416
       1.9962370       7.1062693
       1.9964540       6.0585613
       1.9966711       5.7279092
       1.9968880       5.6676072
       1.9971050       5.3301539
       1.9973221       4.7390689
       1.9975390       4.2855893
       1.9977560       4.1662616
       1.9979731       4.2618104
       1.9981900       4.4020394
       1.9984070       4.5352516
       1.9986241       4.6908953
       1.9988410       4.9229635
       1.9990580       5.3036312
       1.9992751       6.0239456
       1.9994920       8.0220616
       1.9997090       15.609056
       1.9999261       42.630693
       2.0001431       114.29261
       2.0003600       243.01244
       2.0005770       385.63095
       2.0007939       451.51852
       2.0010111       388.81642
       2.0012281       245.65361
       2.0014451       114.92598
       2.0016620       43.047590
       2.0018790       17.691391
       2.0020959       12.503566
       2.0023131       14.387850
       2.0025301       24.074270
       2.0027471       48.727927
       2.0029640       88.035487
       2.0031810       122.47827
       2.0033979       126.33980
       2.0036151       96.023190
       2.0038321       54.382762
       2.0040491       24.576366
       2.0042660       11.304748
       2.0044830       7.4331005
       2.0046999       6.6112837
       2.0049171       6.4434562
       2.0051341       6.4691397
       2.0053511       6.6832847
       2.0055680       7.1254757
       2.0057850       7.7744504
       2.0060019       8.6634407
       2.0062191       10.661853
       2.0064361       15.739109
       2.0066531       24.198945
       2.0068700       31.661327
       2.0070870       32.256777
       2.0073040       25.255016
       2.0075212       15.796708
       2.0077381       9.0706309
       2.0079551       6.0438943
       2.0081720       5.0420396
       2.0083890       4.6689825
       2.0086060       4.5176433
       2.0088232       4.7742930
       2.0090401       6.0521812
       2.0092571       8.9491159
       2.0094740       13.160173
       2.0096910       17.044850
       2.0099080       18.383629
       2.0101252       16.278161
       2.0103421       12.291774
       2.0105591       8.9777137
       2.0107760       7.8482484
       2.0109930       9.1291061
       2.0112100       12.205197
       2.0114269       15.560167
       2.0116441       17.325652
       2.0118611       16.924776
       2.0120780       16.038153
       2.0122950       17.830102
       2.0125120       25.353253
       2.0127292       36.848597
       2.0129461       42.041930
       2.0131631       34.181163
       2.0133801       20.697144
       2.0135970       11.224421
       2.0138140       7.1400560
       2.0140309       5.8618459
       2.0142481       5.5286812
       2.0144651       5.4047877
       2.0146821       5.3561724
       2.0148990       5.4004963
       2.0151160       5.4877327
       2.0153329       5.6450298
       2.0155501       6.0511499
       2.0157671       6.8369138
       2.0159841       7.9310570
       2.0162010       9.0395388
       2.0164180       9.8133572
       2.0166349       10.206769
       2.0168521       10.555911
       2.0170691       11.184984
       2.0172861       11.995958
       2.0175030       12.495598
       2.0177200       12.207756
       2.0179369       11.064600
       2.0181541       9.7248459
       2.0183711       10.270761
       2.0185881       17.165781
       2.0188050       35.027025
       2.0190220       60.492176
       2.0192389       78.615451
       2.0194561       75.407123
       2.0196731       53.672501
       2.0198901       29.622572
       2.0201070       15.354716
       2.0203240       10.872159
       2.0205410       10.439785
       2.0207582       10.027762
       2.0209751       9.0781477
       2.0211921       8.6432268
       2.0214090       8.9775585
       2.0216260       9.0997411
       2.0218430       8.2717145
       2.0220602       6.8778284
       2.0222771       5.7169148
       2.0224941       5.1115929
       2.0227110       4.9395540
       2.0229280       4.9944234
       2.0231450       5.1112963
       2.0233622       5.2597182
       2.0235791       5.5346956
       2.0237961       5.8873598
       2.0240130       6.0555453
       2.0242300       5.9484647
       2.0244470       5.8476345
       2.0246639       5.9725035
       2.0248811       6.0926894
       2.0250981       5.8792910
       2.0253150       5.3978850
       2.0255320       4.9846494
       2.0257490       4.8464254
       2.0259662       5.0072857
       2.0261831       5.6003597
       2.0264001       7.6924887
       2.0266171       17.162951
       2.0268340       52.384247
       2.0270510       138.16102
       2.0272679       266.48686
       2.0274851       369.11959
       2.0277021       369.73875
       2.0279191       269.11711
       2.0281360       143.49215
       2.0283530       59.900245
       2.0285699       26.059755
       2.0287871       18.104440
       2.0290041       17.611091
       2.0292211       17.741763
       2.0294380       17.170899
       2.0296550       16.177969
       2.0298719       14.827470
       2.0300891       12.918174
       2.0303061       10.866084
       2.0305231       9.3806163
       2.0307400       8.4730114
       2.0309570       7.8754996
       2.0311739       8.2584944
       2.0313911       10.752337
       2.0316081       14.888013
       2.0318251       18.058185
       2.0320420       17.819380
       2.0322590       14.381382
       2.0324759       10.220213
       2.0326931       7.8461482
       2.0329101       9.6422642
       2.0331271       21.794420
       2.0333440       55.928301
       2.0335610       115.59870
       2.0337780       176.86299
       2.0339952       198.92133
       2.0342121       165.81686
       2.0344291       104.82872
       2.0346460       53.929639
       2.0348630       26.372761
       2.0350800       14.310377
       2.0352972       8.6743243
       2.0355141       5.8744638
       2.0357311       4.7056673
       2.0359480       4.3102569
       2.0361650       4.1959450
       2.0363820       4.2707296
       2.0365992       4.5221965
       2.0368161       4.8148330
       2.0370331       4.9313983
       2.0372500       4.7424540
       2.0374670       4.3426259
       2.0376840       3.9767601
       2.0379009       3.8280510
       2.0381181       3.9059441
       2.0383351       4.0910899
       2.0385520       4.2550512
       2.0387690       4.3699436
       2.0389860       4.5035152
       2.0392032       4.7183841
       2.0394201       5.0525722
       2.0396371       5.5817081
       2.0398540       6.4962637
       2.0400710       9.1874174
       2.0402880       21.760220
       2.0405049       69.454926
       2.0407221       187.60247
       2.0409391       368.15756
       2.0411561       517.43840
       2.0413730       524.13509
       2.0415900       382.83232
       2.0418069       200.50847
       2.0420241       76.215744
       2.0422411       24.041783
       2.0424581       9.7403899
       2.0426750       6.7981725
       2.0428920       6.0566662
       2.0431089       5.6293173
       2.0433261       5.2128189
       2.0435431       4.8731299
       2.0437601       4.7748891
       2.0439770       4.9703833
       2.0441940       5.2765051
       2.0444109       5.3837077
       2.0446281       5.1629922
       2.0448451       4.8382601
       2.0450621       4.7752905
       2.0452790       5.1448206
       2.0454960       5.7955585
       2.0457129       6.3179123
       2.0459301       6.2906682
       2.0461471       5.6821918
       2.0463641       4.9192840
       2.0465810       4.4432490
       2.0467980       4.3389161
       2.0470150       4.4285160
       2.0472322       4.5613177
       2.0474491       4.7072015
       2.0476661       4.8972687
       2.0478830       5.2993084
       2.0481000       6.2168566
       2.0483170       7.6400324
       2.0485342       8.9236011
       2.0487511       9.6078512
       2.0489681       11.709590
       2.0491850       22.248558
       2.0494020       50.310135
       2.0496190       93.220719
       2.0498362       127.07274
       2.0500531       125.74162
       2.0502701       90.714401
       2.0504870       48.502066
       2.0507040       21.112955
       2.0509210       10.513263
       2.0511379       8.7133228
       2.0513551       9.5594239
       2.0515721       10.472493
       2.0517890       11.058418
       2.0520060       12.058067
       2.0522230       13.584286
       2.0524402       14.354136
       2.0526571       13.405446
       2.0528741       11.609694
       2.0530910       10.600128
       2.0533080       11.025456
       2.0535250       12.542234
       2.0537419       14.664964
       2.0539591       16.576026
       2.0541761       16.886937
       2.0543931       15.197823
       2.0546100       13.360573
       2.0548270       13.813394
       2.0550439       17.127486
       2.0552611       23.602226
       2.0554781       41.833524
       2.0556951       95.739143
       2.0559120       203.85623
       2.0561290       333.10740
       2.0563459       398.91516
       2.0565631       347.79810
       2.0567801       221.21732
       2.0569971       106.19986
       2.0572140       46.769490
       2.0574310       29.609836
       2.0576479       27.590149
       2.0578651       26.965961
       2.0580821       24.870250
       2.0582991       21.150314
       2.0585160       16.157623
       2.0587330       11.306827
       2.0589499       8.1102615
       2.0591671       6.7510826
       2.0593841       6.3497678
       2.0596011       6.0661368
       2.0598180       5.6503092
       2.0600350       5.2545408
       2.0602520       5.0368380
       2.0604692       5.0050139
       2.0606861       5.0881405
       2.0609031       5.2125672
       2.0611200       5.3045556
       2.0613370       5.3176100
       2.0615540       5.2882020
       2.0617712       5.2790024
       2.0619881       5.3129741
       2.0622051       5.4142986
       2.0624220       5.5904855
       2.0626390       5.7500071
       2.0628560       5.7772733
       2.0630732       5.7276061
       2.0632901       5.7841015
       2.0635071       5.9769621
       2.0637240       6.1650639
       2.0639410       6.3242390
       2.0641580       6.6914000
       2.0643749       7.6050883
       2.0645921       9.1659078
       2.0648091       10.912107
       2.0650260       12.004520
       2.0652430       11.933553
       2.0654600       10.982434
       2.0656769       9.9456678
       2.0658941       9.4839497
       2.0661111       9.6659580
       2.0663280       10.003561
       2.0665450       10.198014
       2.0667620       10.706955
       2.0669789       11.886628
       2.0671961       12.889602
       2.0674131       12.452287
       2.0676301       10.573808
       2.0678470       8.4596224
       2.0680640       7.0721548
       2.0682809       6.4743582
       2.0684981       6.3187985
       2.0687151       6.3040957
       2.0689321       6.2803892
       2.0691490       6.3234939
       2.0693660       6.6422453
       2.0695829       7.2059608
       2.0698001       7.5475166
       2.0700171       7.2958962
       2.0702341       6.7279196
       2.0704510       6.3282773
       2.0706680       6.2192300
       2.0708849       6.2803501
       2.0711021       6.4371259
       2.0713191       6.7415689
       2.0715361       7.4133454
       2.0717530       9.7733814
       2.0719700       20.093910
       2.0721869       54.127257
       2.0724041       127.43899
       2.0726211       224.44491
       2.0728381       288.94248
       2.0730550       272.45289
       2.0732720       189.03527
       2.0734890       98.660709
       2.0737062       43.533152
       2.0739231       22.513317
       2.0741401       16.143531
       2.0743570       12.510869
       2.0745740       9.4433788
       2.0747910       7.5844421
       2.0750082       6.7976131
       2.0752251       6.4592077
       2.0754421       6.2827189
       2.0756590       6.2335393
       2.0758760       6.2075856
       2.0760930       6.1009828
       2.0763102       5.9399421
       2.0765271       5.7919129
       2.0767441       5.6626534
       2.0769610       5.5627565
       2.0771780       5.5391950
       2.0773950       5.5868298
       2.0776119       5.6368056
       2.0778291       5.6443608
       2.0780461       5.6276889
       2.0782630       5.6170046
       2.0784800       5.6361209
       2.0786970       5.7249138
       2.0789139       5.8854332
       2.0791311       6.0402931
       2.0793481       6.1929673
       2.0795650       6.7466116
       2.0797820       8.5404890
       2.0799990       12.106240
       2.0802159       16.581219
       2.0804331       19.781899
       2.0806501       19.950667
       2.0808671       17.646030
       2.0810840       15.336691
       2.0813010       14.664209
       2.0815179       14.897115
       2.0817351       14.879035
       2.0819521       15.262951
       2.0821691       17.235671
       2.0823860       20.112992
       2.0826030       21.995048
       2.0828199       21.798943
       2.0830371       19.502333
       2.0832541       15.653660
       2.0834711       11.433673
       2.0836880       8.2534019
       2.0839050       6.6473042
       2.0841219       6.1482976
       2.0843391       6.1870271
       2.0845561       6.6206774
       2.0847731       7.7042223
       2.0849900       10.294888
       2.0852070       17.114418
       2.0854239       33.315362
       2.0856411       60.637873
       2.0858581       88.120731
       2.0860751       97.274163
       2.0862920       81.415826
       2.0865090       53.427004
       2.0867260       31.307091
       2.0869431       21.870551
       2.0871601       20.703148
       2.0873771       21.110390
       2.0875940       19.556587
       2.0878110       16.332389
       2.0880280       13.757129
       2.0882452       13.028387
       2.0884621       12.893080
       2.0886791       11.706585
       2.0888960       9.5890742
       2.0891130       7.8570898
       2.0893300       7.1948424
       2.0895472       7.2550966
       2.0897641       8.1192703
       2.0899811       12.703619
       2.0901980       28.773383
       2.0904150       64.974531
       2.0906320       116.66323
       2.0908489       157.46815
       2.0910661       158.76289
       2.0912831       120.36020
       2.0915000       70.596672
       2.0917170       35.512724
       2.0919340       19.109011
       2.0921512       12.645366
       2.0923681       9.4647871
       2.0925851       7.6508383
       2.0928020       6.8089106
       2.0930190       6.5958832
       2.0932360       6.7975917
       2.0934529       7.2908286
       2.0936701       7.8229781
       2.0938871       8.0179433
